"No.","Time","Source","Destination","Protocol","Length","Info"
"33","3.370311","2001:40a8:4400:3::5266:9841","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","86","443  >  51328 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"34","3.587589","18.196.158.34","192.168.1.174","TCP","60","443  >  51294 [ACK] Seq=1 Ack=1 Win=16 Len=0"
"35","3.587626","192.168.1.174","18.196.158.34","TCP","54","[TCP ACKed unseen segment] 51294  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"62","5.121824","192.168.1.174","162.159.133.232","TCP","55","51261  >  443 [ACK] Seq=1 Ack=1 Win=8279 Len=1 [TCP segment of a reassembled PDU]"
"63","5.124557","162.159.133.232","192.168.1.174","TCP","66","443  >  51261 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2"
"94","7.901999","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","120","Application Data"
"95","7.903605","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","116","Application Data"
"96","7.903681","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","116","Application Data"
"97","7.906086","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  50974 [ACK] Seq=47 Ack=43 Win=16379 Len=0"
"98","7.906224","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  50974 [ACK] Seq=47 Ack=85 Win=16379 Len=0"
"99","8.185542","192.168.1.174","140.82.113.25","TCP","55","50971  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]"
"100","8.449952","140.82.113.25","192.168.1.174","TCP","66","443  >  50971 [ACK] Seq=1 Ack=2 Win=70 Len=0 SLE=1 SRE=2"
"103","8.954188","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","144","Application Data"
"104","9.119444","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=59 Ack=191 Win=5500 Len=0"
"107","9.269552","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","146","Application Data"
"109","9.318714","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TCP","74","51017  >  443 [ACK] Seq=191 Ack=131 Win=1031 Len=0"
"113","10.542081","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","1466","443  >  51017 [ACK] Seq=131 Ack=191 Win=5500 Len=1392 [TCP segment of a reassembled PDU]"
"114","10.542081","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","746","Application Data, Application Data"
"115","10.542167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TCP","74","51017  >  443 [ACK] Seq=191 Ack=2195 Win=1033 Len=0"
"116","10.653470","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","165","Application Data"
"117","10.699012","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","177","Application Data"
"118","10.773899","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=2195 Ack=282 Win=5500 Len=0"
"119","10.773899","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=2195 Ack=385 Win=5500 Len=0"
"124","10.816811","192.168.1.174","68.219.103.34","TCP","66","51367  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"125","10.822068","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TCP","75","51046  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]"
"126","10.824731","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","86","443  >  51046 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2"
"127","10.870336","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","164","Application Data"
"128","10.886964","68.219.103.34","192.168.1.174","TCP","66","443  >  51367 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"129","10.887037","192.168.1.174","68.219.103.34","TCP","54","51367  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"130","10.887386","192.168.1.174","68.219.103.34","TLSv1.2","266","Client Hello"
"131","10.924966","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TCP","74","51017  >  443 [ACK] Seq=385 Ack=2285 Win=1032 Len=0"
"132","10.959027","68.219.103.34","192.168.1.174","TCP","1506","443  >  51367 [ACK] Seq=1 Ack=213 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"133","10.959027","68.219.103.34","192.168.1.174","TCP","1506","443  >  51367 [ACK] Seq=1453 Ack=213 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"134","10.959075","192.168.1.174","68.219.103.34","TCP","54","51367  >  443 [ACK] Seq=213 Ack=2905 Win=132352 Len=0"
"135","10.960721","68.219.103.34","192.168.1.174","TCP","1506","443  >  51367 [ACK] Seq=2905 Ack=213 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"136","10.960721","68.219.103.34","192.168.1.174","TCP","1506","443  >  51367 [ACK] Seq=4357 Ack=213 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"137","10.960721","68.219.103.34","192.168.1.174","TLSv1.2","187","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"138","10.960775","192.168.1.174","68.219.103.34","TCP","54","51367  >  443 [ACK] Seq=213 Ack=5942 Win=132352 Len=0"
"139","10.967833","192.168.1.174","68.219.103.34","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"140","11.039010","68.219.103.34","192.168.1.174","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"141","11.039221","68.219.103.34","192.168.1.174","TLSv1.2","123","Application Data"
"142","11.039273","192.168.1.174","68.219.103.34","TCP","54","51367  >  443 [ACK] Seq=371 Ack=6062 Win=132352 Len=0"
"143","11.051044","192.168.1.174","68.219.103.34","TLSv1.2","141","Application Data"
"144","11.051168","192.168.1.174","68.219.103.34","TLSv1.2","214","Application Data"
"145","11.051253","192.168.1.174","68.219.103.34","TLSv1.2","92","Application Data"
"146","11.051420","192.168.1.174","68.219.103.34","TLSv1.2","728","Application Data"
"147","11.121064","68.219.103.34","192.168.1.174","TCP","60","443  >  51367 [ACK] Seq=6062 Ack=618 Win=524800 Len=0"
"148","11.121885","68.219.103.34","192.168.1.174","TLSv1.2","92","Application Data"
"149","11.122259","68.219.103.34","192.168.1.174","TCP","60","443  >  51367 [ACK] Seq=6100 Ack=1330 Win=524288 Len=0"
"150","11.122259","68.219.103.34","192.168.1.174","TLSv1.2","96","Application Data"
"151","11.122326","192.168.1.174","68.219.103.34","TCP","54","51367  >  443 [ACK] Seq=1330 Ack=6142 Win=132096 Len=0"
"152","11.185262","68.219.103.34","192.168.1.174","TLSv1.2","585","Application Data"
"153","11.186442","192.168.1.174","68.219.103.34","TCP","54","51367  >  443 [FIN, ACK] Seq=1330 Ack=6673 Win=131584 Len=0"
"154","11.200523","192.168.1.174","68.219.103.34","TCP","66","51368  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"155","11.256439","68.219.103.34","192.168.1.174","TLSv1.2","96","Application Data"
"156","11.256506","192.168.1.174","68.219.103.34","TCP","54","51367  >  443 [RST, ACK] Seq=1331 Ack=6715 Win=0 Len=0"
"157","11.256754","68.219.103.34","192.168.1.174","TCP","60","443  >  51367 [FIN, ACK] Seq=6715 Ack=1331 Win=524288 Len=0"
"158","11.271961","68.219.103.34","192.168.1.174","TCP","66","443  >  51368 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"159","11.272060","192.168.1.174","68.219.103.34","TCP","54","51368  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"160","11.272509","192.168.1.174","68.219.103.34","TLSv1.2","266","Client Hello"
"161","11.345807","68.219.103.34","192.168.1.174","TCP","1506","443  >  51368 [ACK] Seq=1 Ack=213 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"162","11.345807","68.219.103.34","192.168.1.174","TCP","1506","443  >  51368 [ACK] Seq=1453 Ack=213 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"163","11.345807","68.219.103.34","192.168.1.174","TCP","1506","443  >  51368 [ACK] Seq=2905 Ack=213 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"164","11.345905","192.168.1.174","68.219.103.34","TCP","54","51368  >  443 [ACK] Seq=213 Ack=4357 Win=132352 Len=0"
"165","11.346834","68.219.103.34","192.168.1.174","TCP","1506","443  >  51368 [ACK] Seq=4357 Ack=213 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"166","11.346834","68.219.103.34","192.168.1.174","TLSv1.2","187","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"167","11.346891","192.168.1.174","68.219.103.34","TCP","54","51368  >  443 [ACK] Seq=213 Ack=5942 Win=132352 Len=0"
"168","11.351688","192.168.1.174","68.219.103.34","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"169","11.423533","68.219.103.34","192.168.1.174","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"170","11.424596","192.168.1.174","68.219.103.34","TLSv1.2","141","Application Data"
"171","11.424680","192.168.1.174","68.219.103.34","TLSv1.2","209","Application Data"
"172","11.424815","192.168.1.174","68.219.103.34","TLSv1.2","750","Application Data"
"173","11.425402","68.219.103.34","192.168.1.174","TLSv1.2","123","Application Data"
"174","11.425518","192.168.1.174","68.219.103.34","TLSv1.2","92","Application Data"
"175","11.497645","68.219.103.34","192.168.1.174","TCP","60","443  >  51368 [ACK] Seq=6062 Ack=613 Win=524800 Len=0"
"176","11.497645","68.219.103.34","192.168.1.174","TLSv1.2","92","Application Data"
"177","11.501989","68.219.103.34","192.168.1.174","TLSv1.2","96","Application Data"
"178","11.501989","68.219.103.34","192.168.1.174","TCP","1506","443  >  51368 [ACK] Seq=6142 Ack=1347 Win=524032 Len=1452 [TCP segment of a reassembled PDU]"
"179","11.502041","192.168.1.174","68.219.103.34","TCP","54","51368  >  443 [ACK] Seq=1347 Ack=7594 Win=132352 Len=0"
"180","11.504311","68.219.103.34","192.168.1.174","TCP","1506","443  >  51368 [ACK] Seq=7594 Ack=1347 Win=524032 Len=1452 [TCP segment of a reassembled PDU]"
"181","11.504311","68.219.103.34","192.168.1.174","TCP","1506","443  >  51368 [ACK] Seq=9046 Ack=1347 Win=524032 Len=1452 [TCP segment of a reassembled PDU]"
"182","11.504311","68.219.103.34","192.168.1.174","TCP","1506","443  >  51368 [ACK] Seq=10498 Ack=1347 Win=524032 Len=1452 [TCP segment of a reassembled PDU]"
"183","11.504311","68.219.103.34","192.168.1.174","TCP","1506","443  >  51368 [ACK] Seq=11950 Ack=1347 Win=524032 Len=1452 [TCP segment of a reassembled PDU]"
"184","11.504311","68.219.103.34","192.168.1.174","TLSv1.2","746","Application Data"
"185","11.504311","68.219.103.34","192.168.1.174","TLSv1.2","92","Application Data"
"186","11.504365","192.168.1.174","68.219.103.34","TCP","54","51368  >  443 [ACK] Seq=1347 Ack=14132 Win=132352 Len=0"
"187","11.506586","192.168.1.174","68.219.103.34","TCP","54","51368  >  443 [FIN, ACK] Seq=1347 Ack=14132 Win=132352 Len=0"
"188","11.577407","68.219.103.34","192.168.1.174","TCP","60","443  >  51368 [FIN, ACK] Seq=14132 Ack=1348 Win=524032 Len=0"
"189","11.577494","192.168.1.174","68.219.103.34","TCP","54","51368  >  443 [ACK] Seq=1348 Ack=14133 Win=132352 Len=0"
"190","11.656651","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","1474","Ignored Unknown Record"
"191","11.656651","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","1474","Ignored Unknown Record"
"192","11.656651","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","1474","Ignored Unknown Record"
"193","11.656651","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","528","Ignored Unknown Record"
"194","11.656731","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","120","Application Data"
"195","11.656749","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","442","Application Data"
"196","11.659396","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51046 [ACK] Seq=1 Ack=2802 Win=16384 Len=0"
"197","11.659396","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51046 [ACK] Seq=1 Ack=4202 Win=16384 Len=0"
"198","11.659520","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51046 [ACK] Seq=1 Ack=4656 Win=16382 Len=0"
"199","11.659876","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51046 [ACK] Seq=1 Ack=5070 Win=16380 Len=0"
"200","11.660260","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","120","Application Data"
"201","11.672915","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TCP","1474","51240  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1400 [TCP segment of a reassembled PDU]"
"202","11.672915","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TCP","1474","51240  >  443 [ACK] Seq=1401 Ack=1 Win=512 Len=1400 [TCP segment of a reassembled PDU]"
"203","11.672915","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TCP","1474","51240  >  443 [ACK] Seq=2801 Ack=1 Win=512 Len=1400 [TCP segment of a reassembled PDU]"
"204","11.672915","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TLSv1.2","787","Application Data"
"205","11.672989","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TLSv1.2","113","Application Data"
"206","11.673004","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TLSv1.2","127","Application Data"
"207","11.674783","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51240 [ACK] Seq=1 Ack=1401 Win=352 Len=0"
"208","11.674923","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51240 [ACK] Seq=1 Ack=2801 Win=363 Len=0"
"209","11.675599","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51240 [ACK] Seq=1 Ack=4201 Win=374 Len=0"
"210","11.675599","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51240 [ACK] Seq=1 Ack=4914 Win=385 Len=0"
"211","11.675599","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51240 [ACK] Seq=1 Ack=4953 Win=385 Len=0"
"212","11.675599","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51240 [ACK] Seq=1 Ack=5006 Win=385 Len=0"
"216","11.693802","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","113","Application Data"
"243","11.707219","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TCP","74","51046  >  443 [ACK] Seq=5070 Ack=47 Win=511 Len=0"
"250","11.737524","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TCP","74","51240  >  443 [ACK] Seq=5006 Ack=40 Win=512 Len=0"
"268","11.816680","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","1474","443  >  51046 [ACK] Seq=47 Ack=5070 Win=16380 Len=1400 [TCP segment of a reassembled PDU]"
"269","11.816680","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","999","Application Data"
"270","11.816749","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TCP","74","51046  >  443 [ACK] Seq=5070 Ack=2372 Win=514 Len=0"
"276","11.910066","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","685","Application Data"
"277","11.910066","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","212","Application Data"
"278","11.910150","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TCP","74","51240  >  443 [ACK] Seq=5006 Ack=789 Win=509 Len=0"
"279","11.910679","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TLSv1.2","109","Application Data"
"280","11.913037","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","207","Application Data"
"281","11.913669","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","265","Application Data"
"282","11.913721","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TCP","74","51240  >  443 [ACK] Seq=5041 Ack=1113 Win=514 Len=0"
"283","11.913818","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","113","Application Data"
"284","11.914346","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:803::2005","TLSv1.2","113","Application Data"
"285","11.921980","2a00:1450:4028:803::2005","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51240 [ACK] Seq=1152 Ack=5080 Win=385 Len=0"
"294","12.906850","192.168.1.174","20.189.173.11","TCP","66","51372  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"295","13.111934","20.189.173.11","192.168.1.174","TCP","66","443  >  51372 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"296","13.112136","192.168.1.174","20.189.173.11","TCP","54","51372  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"297","13.112711","192.168.1.174","20.189.173.11","TLSv1.2","268","Client Hello"
"298","13.318799","20.189.173.11","192.168.1.174","TCP","1506","443  >  51372 [ACK] Seq=1 Ack=215 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"299","13.318799","20.189.173.11","192.168.1.174","TCP","1506","443  >  51372 [ACK] Seq=1453 Ack=215 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"300","13.318799","20.189.173.11","192.168.1.174","TCP","1506","443  >  51372 [ACK] Seq=2905 Ack=215 Win=525312 Len=1452 [TCP segment of a reassembled PDU]"
"301","13.318799","20.189.173.11","192.168.1.174","TLSv1.2","191","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"302","13.318916","192.168.1.174","20.189.173.11","TCP","54","51372  >  443 [ACK] Seq=215 Ack=4494 Win=132352 Len=0"
"303","13.324543","192.168.1.174","20.189.173.11","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"304","13.537836","20.189.173.11","192.168.1.174","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"305","13.539022","192.168.1.174","20.189.173.11","TLSv1.2","141","Application Data"
"306","13.539152","192.168.1.174","20.189.173.11","TLSv1.2","699","Application Data"
"307","13.539306","192.168.1.174","20.189.173.11","TLSv1.2","1369","Application Data"
"308","13.540157","20.189.173.11","192.168.1.174","TLSv1.2","123","Application Data"
"309","13.540333","192.168.1.174","20.189.173.11","TLSv1.2","92","Application Data"
"310","13.743491","20.189.173.11","192.168.1.174","TCP","60","443  >  51372 [ACK] Seq=4614 Ack=1105 Win=524288 Len=0"
"311","13.743491","20.189.173.11","192.168.1.174","TLSv1.2","92","Application Data"
"312","13.744219","20.189.173.11","192.168.1.174","TLSv1.2","96","Application Data"
"313","13.744279","192.168.1.174","20.189.173.11","TCP","54","51372  >  443 [ACK] Seq=2458 Ack=4694 Win=132096 Len=0"
"314","13.745559","20.189.173.11","192.168.1.174","TLSv1.2","338","Application Data"
"315","13.758236","192.168.1.174","20.189.173.11","TCP","54","51372  >  443 [FIN, ACK] Seq=2458 Ack=4978 Win=131840 Len=0"
"316","13.962808","20.189.173.11","192.168.1.174","TLSv1.2","96","Application Data"
"317","13.962808","20.189.173.11","192.168.1.174","TCP","60","443  >  51372 [FIN, ACK] Seq=5020 Ack=2459 Win=525568 Len=0"
"318","13.962912","192.168.1.174","20.189.173.11","TCP","54","51372  >  443 [RST, ACK] Seq=2459 Ack=5020 Win=0 Len=0"
"322","15.549465","192.168.1.174","185.199.110.154","TCP","55","51103  >  443 [ACK] Seq=1 Ack=1 Win=2094 Len=1 [TCP segment of a reassembled PDU]"
"323","15.613613","185.199.110.154","192.168.1.174","TCP","66","443  >  51103 [ACK] Seq=1 Ack=2 Win=336 Len=0 SLE=1 SRE=2"
"324","16.303131","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2606:50c0:8001::154","TCP","75","51104  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"325","16.364546","2606:50c0:8001::154","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","86","443  >  51104 [ACK] Seq=1 Ack=2 Win=288 Len=0 SLE=1 SRE=2"
"343","21.260855","192.168.1.174","140.82.121.5","TCP","55","51345  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"344","21.322309","140.82.121.5","192.168.1.174","TCP","66","443  >  51345 [ACK] Seq=1 Ack=2 Win=68 Len=0 SLE=1 SRE=2"
"347","21.554775","192.168.1.174","140.82.113.22","TCP","55","51346  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"348","21.688339","140.82.113.22","192.168.1.174","TCP","66","443  >  51346 [ACK] Seq=1 Ack=2 Win=70 Len=0 SLE=1 SRE=2"
"357","22.526998","18.184.238.147","192.168.1.174","TCP","60","[TCP Dup ACK 1#1] 443  >  51298 [ACK] Seq=1 Ack=1 Win=12 Len=0"
"358","22.527060","192.168.1.174","18.184.238.147","TCP","54","[TCP Dup ACK 2#1] 51298  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"376","22.817208","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","120","Application Data"
"377","22.818881","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","116","Application Data"
"378","22.818981","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","116","Application Data"
"379","22.821421","2620:1ec:21::14","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  50974 [ACK] Seq=93 Ack=169 Win=16384 Len=0"
"380","23.038094","140.82.113.25","192.168.1.174","TLSv1.2","80","Application Data"
"381","23.038367","192.168.1.174","140.82.113.25","TLSv1.2","84","Ignored Unknown Record"
"382","23.173493","140.82.113.25","192.168.1.174","TCP","60","443  >  50971 [ACK] Seq=27 Ack=32 Win=70 Len=0"
"582","25.271869","192.168.1.174","18.184.238.147","TCP","55","[TCP Keep-Alive] 51298  >  443 [ACK] Seq=0 Ack=2 Win=513 Len=1"
"725","25.336319","18.184.238.147","192.168.1.174","TCP","66","[TCP Previous segment not captured] 443  >  51298 [ACK] Seq=2 Ack=1 Win=12 Len=0 SLE=0 SRE=1"
"732","25.666026","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2620:1ec:21::14","TLSv1.2","373","Application Data"
