"No.","Time","Source","Destination","Protocol","Length","Info"
"2648","34.500154","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","144","Application Data"
"2718","35.504778","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=5991 Ack=2735 Win=1027 Len=0"
"2724","35.506305","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=5991 Ack=5519 Win=1027 Len=0"
"2733","35.551682","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=5991 Ack=6313 Win=1024 Len=0"
"2744","35.602395","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","165","Application Data"
"2746","35.625167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","177","Application Data"
"2751","35.648833","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","144","Application Data"
"2778","35.848226","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=6255 Ack=6403 Win=1024 Len=0"
"3816","49.618930","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","149","Application Data"
"3853","49.838609","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=6330 Ack=7408 Win=1027 Len=0"
"4169","51.443777","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","[TCP Previous segment not captured] 49571  >  443 [ACK] Seq=11845 Ack=7519 Win=1027 Len=0"
"4192","51.778307","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=11845 Ack=7711 Win=1026 Len=0"
"4193","51.778834","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"4195","51.783458","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"4232","52.474041","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"4417","54.906762","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=12126 Ack=7884 Win=1025 Len=0"
"4731","60.614763","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=12126 Ack=7964 Win=1025 Len=0"
"4980","64.866769","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=12126 Ack=8043 Win=1025 Len=0"
"5024","65.471820","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=12126 Ack=8120 Win=1024 Len=0"
"5088","66.516516","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=12126 Ack=8879 Win=1027 Len=0"
"5098","66.573933","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","165","Application Data"
"5108","66.595683","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","177","Application Data"
"5147","66.812179","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=12320 Ack=8969 Win=1027 Len=0"
"5387","69.843732","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","146","Application Data"
"5456","71.048645","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=12392 Ack=9049 Win=1027 Len=0"
"5607","73.580741","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=12392 Ack=9129 Win=1026 Len=0"
"5648","74.248478","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=12392 Ack=9209 Win=1026 Len=0"
"5746","75.930811","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","75","[TCP Keep-Alive] 51994  >  443 [ACK] Seq=4196 Ack=1206 Win=261632 Len=1"
"5977","79.854328","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","146","Application Data"
"5980","79.898254","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","144","Application Data"
"6041","80.947942","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","805","Application Data"
"6062","81.214458","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=13265 Ack=9320 Win=1025 Len=0"
"6069","81.471796","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"6071","81.491928","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"6077","81.955746","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","146","Application Data"
"6168","83.150983","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"6263","84.278606","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=13618 Ack=9965 Win=1023 Len=0"
"6579","88.384543","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=13618 Ack=10045 Win=1023 Len=0"
"6692","89.705122","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","173","Application Data"
"6822","91.883861","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","166","Application Data"
"7065","95.890148","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","51994  >  443 [FIN, ACK] Seq=4197 Ack=1245 Win=261632 Len=0"
"7067","95.890593","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","51994  >  443 [ACK] Seq=4198 Ack=1246 Win=261632 Len=0"
"7073","95.902204","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=13809 Ack=13871 Win=1027 Len=0"
"7076","95.905275","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=13809 Ack=16021 Win=1027 Len=0"
"7080","96.017733","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","165","Application Data"
"7081","96.041059","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","177","Application Data"
"7085","96.259900","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=14003 Ack=16111 Win=1027 Len=0"
"7272","98.366875","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=14003 Ack=17624 Win=1027 Len=0"
"7275","98.367632","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=14003 Ack=20408 Win=1027 Len=0"
"7280","98.421498","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=14003 Ack=21186 Win=1024 Len=0"
"7283","98.461231","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","165","Application Data"
"7285","98.487114","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","177","Application Data"
"7301","98.705319","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=14197 Ack=21276 Win=1024 Len=0"
"7996","108.524088","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","166","Application Data"
"8270","112.092594","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","[TCP Previous segment not captured] 49571  >  443 [ACK] Seq=25319 Ack=21687 Win=1022 Len=0"
"8279","112.180822","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","[TCP Previous segment not captured] 49571  >  443 [ACK] Seq=30850 Ack=21784 Win=1022 Len=0"
"8300","112.374266","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=30850 Ack=21990 Win=1027 Len=0"
"8316","112.460817","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","[TCP Previous segment not captured] 49571  >  443 [ACK] Seq=36365 Ack=22087 Win=1027 Len=0"
"8369","112.611069","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=36365 Ack=22293 Win=1026 Len=0"
"8389","112.874234","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","[TCP Previous segment not captured] 49571  >  443 [ACK] Seq=41896 Ack=22525 Win=1025 Len=0"
"8392","112.885861","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=41896 Ack=22741 Win=1024 Len=0"
"8402","113.095187","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","[TCP Previous segment not captured] , Application Data"
"8403","113.095280","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"8404","113.095313","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8405","113.095339","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"8406","113.095377","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8407","113.095404","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"8408","113.095430","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8409","113.095457","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"8416","113.147250","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=48163 Ack=23044 Win=1023 Len=0"
"8418","113.151506","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=48163 Ack=23138 Win=1023 Len=0"
"8420","113.161144","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8421","113.161194","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"8422","113.161216","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8429","113.177522","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8444","113.299996","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8449","113.314581","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=48630 Ack=23420 Win=1027 Len=0"
"8450","113.318252","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8457","113.391889","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8460","113.409318","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"8564","114.667044","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"8570","114.713042","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
